,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Kidney - Medulla_GTExTPM,Pituitary_GTExTPM,Testis_GTExTPM,Pancreas_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,BPlabel_encoded
11,210.0,171.18661,-0.3834,25.031423229999994,30.941134,14.343716349999998,30.766714699999987,28.943755499999995,46.2499892,13.358051500000006,31.02863300000001,16.0170109,46.3974396,42.542526000000024,0.01853434899,0.0,0.0,0.6226056470099999,0.4817909750973383,4.6537203011,-0.02082553,7.766,-0.04070657999999998,0.010302419999999987,-0.2680999999999999,0.07266599999999998,0.03081052,0.0015843900000000015,-0.012245260000000004,0.046028880000000015,-0.04536931999999999,-0.07481205000000002,-0.04145563000000002,0.0012790499999999995,-0.1329549199999999,-0.040696900000000015,0.038904960000000016,0.010982729999999998,0.005098989999999999,0.08781744,-0.01228231999999999,0.003462690000000005,-0.008908759999999998,0.04863333999999999,0.02201213,-0.004070450000000006,0.05232111000000002,-0.08085844,4
12,261.0,4573.515329999999,-0.4349,45.823300599999996,43.45964690000001,16.804988599999998,37.45122199999997,46.205647000000006,57.04789510000004,19.1350562,39.46641509999999,24.025989800000005,52.31773530000001,48.76868386000003,0.016526728669999997,0.0,0.01877293319,0.48232197756000006,0.3531904872952241,4.41937107,-0.035502990000000005,7.39595,-0.05615316,0.061375670000000014,0.31590076100000003,0.08661236999999994,-0.01851178000000001,-0.0309783,0.011247679999999993,0.07502257000000001,-0.08128668000000001,-0.07119170000000005,-0.05764941000000001,0.036273599999999996,-0.14846253999999998,-0.03736433,0.014407560000000012,0.016019450000000008,0.022155730000000002,0.12112259000000004,0.026713120000000003,0.038100179999999984,-0.02236553999999999,0.015619600000000003,-0.01150802,0.02099644,0.008604640000000002,-0.11385468,4
13,21.0,31.188159999999996,-0.22899999999999998,45.405824200000005,40.690608000000026,17.925779399999996,35.392913399999976,46.514021,54.66529930000002,17.7391393,41.79198599999999,19.259456700000005,53.17824539999999,47.39718870000005,0.0051424038200000004,0.0,0.0,0.146139458,0.0504664637507207,3.0634528393,-0.0009030800000000027,7.125360000000001,-0.045518769999999986,0.06471382000000002,0.1869,-0.01740868000000001,-0.004194549999999992,0.04071933000000001,0.005470109999999995,0.030007100000000005,-0.013674600000000006,-0.07723173000000001,0.0273303,0.11045116999999993,-0.11464474999999995,-0.031933319999999994,0.09464816,0.01087506,0.02488938999999999,0.05208608,0.0911989,-0.009056829999999998,-0.05050459999999998,0.020681999999999975,0.01073161,-0.016574279999999997,0.03789029000000002,-0.08667945000000006,4
14,846.0,3024.54248,0.4032,27.3223585,32.0385179,16.042449029999993,35.149375499999984,31.80156599999999,49.671195000000026,13.815637700000005,33.61637910000001,16.737179899999994,68.01568590000001,49.41241020000001,0.03866723585,0.0,0.0279715953,0.5853293566000001,0.34988283552494,4.5924878255,-0.0006512800000000019,9.833969999999999,-0.03712029999999999,0.035244139999999965,-0.02180000000000001,0.06670747000000002,0.036096519999999986,-0.08809649000000003,-0.06964506999999999,-0.017152709999999998,-0.04285852000000001,-0.07650090000000002,0.03190645,0.01709044,-0.11573129999999987,-0.04285582,0.03689243000000002,0.0031490299999999984,0.008624980000000004,0.08639109000000003,0.01222355,-0.10013858999999994,-0.062092250000000015,-0.034416639999999984,0.02762290000000001,0.008035080000000002,0.04996639,-0.10583734000000004,4
15,30.0,2440.91385,0.2594,26.22504372000001,33.5932,17.70780823,26.48780919999999,30.936346,42.69879589999999,15.069023400000008,30.75433361000001,16.95446639999999,48.396785200000004,42.144192770000025,0.09227743769000002,0.0,0.018397324219999997,0.6302334131999998,0.37803804403422603,6.4038933072000015,-0.015481850000000004,3.2241400000000002,0.0036125999999999923,0.0051141000000000025,-0.08209999999999999,0.04350939,-0.052001970000000015,-0.046782949999999976,0.047418939999999986,-0.40424437,-0.03353695999999999,-0.08694553999999999,0.033278630000000003,0.16882193999999995,-0.2391393500000001,0.004925289999999996,1.174999999999593e-05,-0.10178956999999997,-0.04992052,0.02240565,-0.4668361599999999,-0.2575786700000001,-0.05778822,0.007572059999999994,-0.04188689,-0.03877801,-0.2043866799999999,-0.11577745999999994,4
16,66.0,1631.4976900000001,0.1789,23.797493,31.745635900000003,14.730030949999998,31.2626287,29.898809999999994,46.4170546,13.809020100000007,31.78243200000001,14.724229199999998,48.4926986,41.695010000000025,0.01853434899,0.0,0.0,0.6176140378100001,0.42632436381433,4.5828903923,-0.03253415000000001,8.325129199999996,-0.03276599,0.03389913999999996,-0.07490000000000002,0.08832645,0.02761455,0.023569480000000004,0.0037911399999999975,0.051138680000000034,-0.033316139999999994,-0.07975876000000003,0.023493530000000016,0.03466468,-0.12841156999999992,-0.03667625,0.05255833000000002,0.008415869999999994,0.01280515,0.12716460000000004,0.042651170000000016,-0.01641397999999999,-0.036761689999999986,0.04029208,0.02978577000000002,0.008415069999999998,0.03835627000000001,-0.07419345999999999,4
17,105.0,86.29137,0.3539,24.802034099999997,30.26490200000001,15.493656649999998,32.165705499999994,29.41156599999999,46.8152499,13.525321700000006,32.47065600000001,16.0468579,53.66761389999998,44.24370620000003,0.013755524980000001,0.0,0.0,0.64655395432,0.5483616554675128,4.837391170800001,-0.007592169999999997,8.99874,-0.02859712,0.02565692999999997,-0.33319999999999994,0.07042858999999999,0.042864960000000014,0.028366610000000018,-0.03321726,0.039745759999999984,-0.023659969999999992,-0.08984267999999998,0.01550272,0.013116280000000004,-0.11646534999999993,-0.048084979999999986,0.047688090000000016,0.0009855899999999982,-0.01876961000000001,0.10087048,0.03293037000000003,-0.05458700999999997,-0.034110769999999985,0.028098189999999988,0.031573420000000005,-0.02022462000000001,0.08321102,-0.08772886000000002,4
18,176.0,10.46141,-0.4437,45.9645505,42.74482940000001,20.837755800000004,41.551406999999976,44.65497200000001,59.728720900000006,18.0553001,40.75252110000001,21.792363899999998,54.22593029999998,54.49801310000001,0.039263572700000006,0.0,0.0,0.6939681650799995,0.6862037468358909,5.839196232700001,-0.02966792000000001,8.960045199999998,-0.023447659999999995,0.022404879999999974,-0.26159999999999994,0.06254096999999999,0.02685264000000001,-0.004352079999999997,0.0221262,0.01961332,-0.04902333,-0.08163344000000003,-0.05534648000000002,0.0008524600000000015,-0.09382796,-0.040417309999999984,-0.0060527100000000045,0.008804029999999994,-0.01643373000000001,0.11315819,-0.005745449999999984,-0.034572309999999995,-0.025941559999999985,0.020004899999999992,0.01858225,-0.021385939999999985,0.008002579999999999,-0.10324751000000004,4
19,135.0,0.31035999999999997,1.0733,92.92691800000004,60.47539600000002,91.97539678,58.74200299999997,87.17460899999996,61.27400749999999,23.85584309999999,79.76738100000003,36.57555629999999,190.5957633,68.57481570000002,0.014731469160000003,0.0,0.027840563519999997,0.6994646735299994,0.6568523227470555,8.520140695899997,-0.04181536000000001,9.282969650000002,-0.05357428,-0.04256099000000002,-0.17950000000000002,-0.49698711,-0.3308059700000001,-0.07823104000000003,-0.011766000000000006,-0.19282309,-0.09014061,-0.06815365000000002,-0.0024986200000000074,-1.1769116600000007,-0.9809327599999996,-0.09365559,-0.09470116999999996,-0.029636159999999995,-0.05589106000000002,-0.05971856000000005,-0.11187218,0.04077679999999998,-0.06792802999999999,-0.5066341200000003,-0.11073438,-0.06237792999999996,-0.07552575000000003,-0.3927824300000001,4
29,52.0,2513.68991,-0.3705,3.72013,4.83225,3.4057800000000005,1.0662399999999999,0.46190200000000003,0.649181,0.356147,0.550471,1.16925,0.918796,0.6728350000000001,0.8387322209999999,0.0,0.0,0.668925405,0.476493104047244,10.75900262,-0.32664299999999996,9.69708,1.313345,0.321598,0.42,1.034605,-6.6438559999999995,-1.460321,-1.383824,0.690348,0.254384,0.272742,-0.281683,1.372258,0.9067780000000001,0.208875,0.7483770000000001,0.28018200000000004,0.956111,-0.362008,0.380619,-3.5856230000000004,0.25506999999999996,-0.665428,-0.597503,-0.236499,-2.177262,-0.458609,1
