,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Lung_GTExTPM,Liver_GTExTPM,Kidney - Medulla_GTExTPM,Fallopian Tube_GTExTPM,Heart - Left Ventricle_GTExTPM,Heart - Atrial Appendage_GTExTPM,Nerve - Tibial_GTExTPM,Esophagus - Muscularis_GTExTPM,Kidney - Cortex_GTExTPM,Ovary_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,Esophagus - Mucosa_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Testis_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Vagina_GTExTPM,Whole Blood_GTExTPM,Pancreas_GTExTPM,Stomach_GTExTPM,Colon - Sigmoid_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,Adrenal Gland_GTExTPM,Artery - Aorta_GTExTPM,Artery - Coronary_GTExTPM,Artery - Tibial_GTExTPM,Bladder_GTExTPM,Brain - Amygdala_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,Colon - Transverse_GTExTPM,Brain - Cortex_GTExTPM,Brain - Hypothalamus_GTExTPM,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,Brain - Substantia nigra_GTExTPM,Breast - Mammary Tissue_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cervix - Ectocervix_GTExTPM,Adipose - Subcutaneous_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,BPlabel_encoded
11,210.0,171.18661,-0.3834,59.353666500000045,43.45904900000002,63.071680999999984,20.733650799999992,36.675262999999966,82.489082,55.48871200000002,53.977149,81.58529499999999,61.15016500000002,29.612498,71.746234,44.424389999999946,45.31613100000001,62.083539,44.969640999999974,48.164072000000026,51.66130399999997,52.83597150000001,55.50467000000001,77.40811699999998,66.94000700000001,24.15653799,15.882377599999998,36.08344099999999,69.89586199999997,51.62848300000002,40.67469199999999,165.54541899999998,141.76044800000003,167.47156400000006,68.61357699999998,19.211397,19.349948000000005,22.519006000000005,42.65754630000001,49.68173219999999,23.479443,24.534817,20.24007699999998,32.954945000000016,24.49279699999999,45.82002500000003,73.06486709999997,59.16025302999999,76.63018200000002,49.61125499999999,0.016534970870000002,0.0,0.0,0.6393431664800001,0.48292802700279897,5.0514992837999975,0.06193672,7.766,-0.013895140000000005,0.07486618,-0.237299239,0.03673566000000001,-0.02100805999999999,0.015763680000000013,-0.01933788,0.03933900000000001,-0.07056927999999997,-0.06992961,-0.016029880000000003,0.04015389,-0.0983264,-0.045251200000000005,0.01638568000000001,-0.0013075600000000036,0.017353030000000002,0.10544141,-0.01127429999999999,-0.09638467999999996,-0.02284405,-0.011416240000000005,0.006763810000000004,-0.02463209000000001,-0.01668839999999998,-0.08904714999999999,4
12,261.0,4573.515329999999,-0.4349,63.08217970000005,43.57649100000001,64.66567499999998,21.277817799999994,38.70398799999997,85.30940800000002,56.069759000000026,55.19029499999999,87.249821,84.53399699999996,31.62007800000001,95.13229099999998,45.806676399999965,53.48962399999998,64.91884900000001,46.47342799999997,48.40589800000002,54.843693,54.583989300000006,56.187188000000006,79.81441899999999,67.79995500000001,23.586621630000003,17.6247752,38.86256699999998,87.69559500000004,53.87872000000002,44.490147,167.45757000000006,135.06267100000005,165.19875400000012,79.79937699999995,19.251218,19.589165000000005,22.65312600000001,46.96323829999999,51.9473112,24.302604,25.514405,20.552012999999985,33.99686800000002,24.061379999999986,46.26347700000004,77.29936259999998,57.99575611999998,77.6825078,52.90269199999999,0.01614673534,0.0,0.00615881762,0.5037895005700002,0.29124843980287873,4.942807801799997,0.06406256,7.39595,-0.04628218999999998,0.1193809400000001,0.3958007610000002,0.045179110000000015,-0.04268821999999997,-0.017085330000000006,0.003830469999999999,0.05534475000000003,-0.08760108000000001,-0.07199816000000005,0.03286265,0.05020854000000001,-0.09333931,-0.03465329,0.013595100000000002,0.005522680000000003,0.016887720000000002,0.12151754000000002,0.001629470000000009,-0.11809669999999999,-0.01163212,-0.03904138999999998,-0.01194143,-0.00025640999999999804,-0.0058713,-0.10186262,4
13,21.0,31.188159999999996,-0.22899999999999998,53.89307700000003,45.27339500000002,64.06382499999997,31.7356951,39.251650999999974,89.37247900000006,46.79210600000001,47.26457200000001,91.853411,71.12795999999999,34.860061000000016,96.42922500000005,51.52926099999997,52.46161899999997,64.011944,48.216329,50.305587,48.770647,56.55092530000002,56.92384199999998,80.30717699999995,69.00276,21.594740619999996,18.218738499999994,37.94669699999998,80.54139099999998,54.98051300000001,53.63,167.537976,139.6984020000001,169.07728400000005,76.01939899999995,19.193579000000003,19.823644000000012,22.670977,42.09084479999999,54.71129399999995,24.674842000000016,25.02508099999999,20.61295499999999,33.201402000000016,25.852692,46.41560100000002,76.40716599999998,54.42258843,79.36858300000003,52.99085,0.027064095080000003,0.0,0.0,0.146139458,0.0504664637507207,2.6047520515,0.03871116999999999,7.125360000000001,-0.05089151999999995,0.11024793,0.3489,-0.06462323999999997,-0.10751687000000006,0.06623739999999999,0.025880600000000014,0.02075038,-0.05641925999999998,-0.08110785000000002,-0.014432190000000013,0.11465204999999998,-0.11314849999999999,-0.05119342000000002,0.04952669000000002,-0.006609159999999999,0.006691510000000007,0.032002680000000006,0.11652133,-0.04640088,-0.035399209999999987,-0.03555236,-0.01504997,-0.03537262,0.0058414700000000075,-0.06253034999999997,4
14,846.0,3024.54248,0.4032,66.95081800000007,41.04791800000001,65.13468599999997,22.345060000000004,39.82024199999999,83.93343800000002,57.301944000000006,54.75831499999998,85.714151,69.993707,32.72004100000001,90.43474499999999,46.50064219999997,53.702902,62.910619,46.30127299999997,47.30956400000003,51.19455699999999,54.16104230000003,55.61921400000002,78.49419899999998,68.63848899999999,22.52782103,16.179111699999993,37.11223499999999,82.45571700000002,52.438736,42.250024999999994,170.25264400000003,135.8788910000001,162.37485400000014,73.17298599999998,19.196212,19.934396000000007,22.60976500000001,48.2706338,52.82539599999999,25.13644200000001,25.847949,20.54994999999998,32.989226000000016,23.608364999999985,45.69016800000003,81.34265319999997,59.365423959999994,78.3064,50.859276,0.02085222361,0.0,0.02455614184,0.5193032325499999,0.2061450961030924,4.397679095899998,0.05085155,9.833969999999999,-0.032114039999999976,0.06924928999999998,0.264100761,0.03131144999999999,0.02568534,-0.01818907999999999,-0.10683499000000003,0.032383340000000024,-0.038761099999999986,-0.07976485000000003,0.03861056,0.06638598,-0.08715335999999999,-0.04094637000000002,-0.006182160000000003,0.0021489000000000005,0.01409340000000001,0.12745421,-0.022466429999999985,-0.17941563000000005,-0.03472368,-0.06833276999999997,-0.026037099999999987,-0.02692223999999999,0.009047960000000008,-0.15720430999999993,4
15,30.0,2440.91385,0.2594,56.044491000000036,43.65364300000001,65.88492099999998,20.447073999999986,39.172624999999975,86.46811700000002,51.95910500000004,56.35138500000001,87.86638499999998,71.01014699999998,32.23788000000001,102.853284,49.18226139999997,54.96650600000001,63.801403,46.931692999999974,48.86558700000002,50.38077299999999,55.70219930000001,56.487484000000016,82.60016399999998,69.335353,22.00360221999999,16.9796585,39.14541499999998,81.57827700000001,54.31818199999999,57.96563700000001,163.99961799999997,135.03511600000007,175.12170400000005,74.26163799999998,18.908044999999994,20.84110300000001,22.678285,45.82192059999999,53.70711219999996,24.746643,26.446962,21.121153999999983,33.091220000000035,23.926491999999996,46.63845500000003,74.02829209999999,54.49774684999999,79.46364200000002,53.20021699999998,0.10086078858000004,0.0,0.00957427108,0.58802387968,0.27908298467229603,6.671339091599999,0.01899441999999999,3.2241400000000002,0.013606610000000005,0.053967150000000005,0.11790152199999998,0.053367319999999975,-0.010669770000000002,0.0044601400000000005,0.024351640000000008,-0.13772861,-0.08448915999999998,-0.07619657,0.046648900000000014,0.14942069,-0.16468534,-0.03477862,0.02571061000000001,-0.07564293,-0.10405475000000003,0.015640710000000016,-0.5105492600000001,-0.11437923999999995,-0.07309679999999999,-0.029024550000000007,-0.0268847,-0.04181162,-0.23202225,-0.10668528,4
16,66.0,1631.4976900000001,0.1789,54.303791600000025,42.57836500000001,64.96655599999997,20.369717999999988,36.39285299999997,84.36277700000005,52.42955100000004,53.458011,85.80165000000002,70.650979,26.474684,90.310928,44.83317099999997,46.75897599999999,62.48540300000001,45.371421999999974,48.57416100000002,50.13873499999999,51.3555453,55.28546800000001,79.14725699999998,67.845112,21.32388231999999,15.692037300000004,35.366200999999975,82.51426799999999,52.51429500000001,40.43859899999999,169.66327900000005,135.90021800000008,168.59772400000008,72.09944299999998,19.044702999999995,19.490411000000005,22.427575000000008,42.1392631,51.1633542,23.584364000000004,25.188318,20.20495199999998,32.20148600000002,23.58220099999999,45.543075000000016,73.31114149999998,54.69733334999998,77.13326700000002,48.58405499999999,0.0204886438,0.0,0.0,0.62474659833,0.3769745176606247,4.810907025499998,0.03735684000000001,8.019895749999996,-0.01676104999999999,0.056725879999999985,0.009200760999999988,0.030672179999999986,0.004945640000000003,0.011598960000000002,0.026913500000000017,0.03440516000000002,-0.05883740999999997,-0.07466125000000004,0.04605219000000002,0.07712631,-0.09001741999999999,-0.03950394000000002,0.01247364,0.0065753700000000005,0.007800680000000002,0.11625349,-0.017730599999999996,-0.10225717,-0.03585141999999999,0.011350450000000005,0.000659629999999996,-0.02606586,-0.01912902999999999,-0.11822874000000005,4
17,105.0,86.29137,0.3539,59.73527700000007,42.29028300000001,62.90327899999999,21.7683062,36.552684999999975,81.71900800000002,54.13926400000002,54.86194299999998,83.18494299999998,62.65570600000003,30.613289000000005,72.024033,46.094657999999974,44.18204699999999,61.662211000000006,45.50066399999998,47.50870800000003,48.318241,53.68012730000001,55.396464000000016,77.88061399999998,68.34254699999998,22.005183489999986,15.966311799999998,37.02309999999998,70.75171899999997,49.95869,39.20669799999999,170.26013400000002,144.75334400000006,172.11677400000008,69.15246299999997,19.100748,19.838845000000006,22.582863000000003,42.4062823,51.58993799999998,24.552254000000016,25.36672,20.371832999999985,32.47321800000002,23.92910299999999,46.05073500000004,72.70402429999999,60.26518805999999,76.83197200000002,49.87895999999999,0.016534970870000002,0.0,0.0,0.6475353711799999,0.4784847826567386,5.404222733500001,0.062468439999999986,8.99874,-0.006304730000000003,0.06502683999999999,-0.274199239,0.03742425999999998,-0.006799790000000001,0.029830059999999988,-0.022511150000000004,0.02583166999999997,-0.05168675999999997,-0.07787635000000001,0.02102127,0.06291398,-0.07642872999999999,-0.037167490000000025,0.03022940999999998,0.010732899999999995,0.01180355,0.11333824000000005,0.0003857699999999922,-0.16316199999999995,-0.021692190000000014,-0.043398129999999986,-0.007759230000000003,-0.02875444,0.006234509999999996,-0.11391302,4
18,176.0,10.46141,-0.4437,60.366909000000064,44.313325000000006,64.99824699999998,23.715834200000003,37.374471999999976,85.84229300000004,54.12608000000001,55.56541,85.05623600000001,68.10670900000001,31.287458000000004,95.47109399999998,51.48540499999997,53.86653099999999,63.19950400000002,46.22883599999998,48.06040100000003,57.19355599999998,54.8955012,55.47234399999999,79.53293000000001,69.21315999999997,23.570363590000003,17.58650929999999,39.07371499999999,78.98651,53.47955500000002,45.44638399999998,168.32641499999997,145.5477600000001,172.78095400000007,73.10528999999995,19.122841999999995,20.042470000000012,22.43217800000001,49.35408329999999,53.05512219999997,24.24192900000001,25.183366,20.61242499999998,32.33527200000002,24.39115199999999,46.267657000000035,76.57883269999998,63.2834658,81.17730100000003,52.054946999999984,0.04523382711,0.0,0.0,0.6639696465799999,0.5789591151924439,5.9927771677,0.04688442000000002,8.309971549999995,-0.004757570000000003,0.08201015999999994,-0.255099239,0.031067670000000006,-0.021563649999999983,0.01946855,0.011128009999999995,-0.01876984,-0.07193909999999996,-0.07967893,-0.02412512,0.002087830000000011,-0.08823533,-0.04475256,-0.028472840000000006,0.004580209999999997,0.0093357,0.09139943999999997,0.005512619999999999,-0.11760229000000005,-0.03797716,-0.025043730000000018,-0.0033461400000000014,-0.02651119,-0.004931430000000007,-0.08628330000000002,4
19,135.0,0.31035999999999997,1.0733,87.07773600000004,46.436801,69.60484099999998,96.55124542,46.406897999999984,90.70333100000002,58.09321700000003,69.20982999999995,85.56140699999997,81.14242799999994,39.463610000000024,95.60557500000004,60.70946699999998,53.40533099999998,63.63976900000001,59.914536999999974,48.62701500000002,64.26977099999996,55.88546920000001,55.210695,80.80884999999998,70.26666199999998,26.29004989,18.069527599999986,40.254472999999976,84.989599,57.717318000000006,53.264074,170.96414300000004,148.1615680000001,177.56047400000008,76.58759899999995,19.192857999999987,20.159259000000013,22.38247100000001,48.18238239999998,55.21004419999996,24.99408300000001,25.238596,20.384465999999982,40.155340000000045,25.93781700000001,46.24319000000002,92.38232409999996,69.72335010000003,82.89572800000003,52.50562499999999,0.06997268949999999,0.0,0.0,0.6447907796999998,0.5542947280495717,6.882493458399999,0.047427180000000034,9.448325700000002,-0.049040319999999984,-0.01566765999999999,-0.2752992389999999,-0.30516817999999984,-0.15637364000000006,-0.05177638000000002,-0.02485592000000001,-0.09042513000000002,-0.14060492000000005,-0.08814289999999997,-0.0298735,-0.83364673,-0.2514166399999999,-0.06041725999999997,-0.04689965999999994,-0.02905687000000002,-0.007627979999999993,0.03499280000000001,0.01513193,-0.06755043999999998,-0.08041382000000002,-0.2127495999999997,-0.05294850999999997,-0.04323876,-0.10283426000000004,-0.20701359999999994,4
29,52.0,2513.68991,-0.3705,3.72013,4.83225,16.7264,3.4057800000000005,1.0662399999999999,3.74804,2.55022,3.47341,6.38302,4.96389,0.41986899999999994,0.521782,31.8511,0.46190200000000003,6.00425,9.09194,3.5833800000000005,8.47888,0.649181,2.33451,3.9095199999999997,12.9557,4.06369,0.356147,3.01045,2.78792,19.896,0.550471,2.7536400000000003,4.13095,2.38441,3.64479,1.16925,1.07282,0.934809,0.437363,2.26621,1.08738,0.8251709999999999,0.9481120000000001,1.61443,1.36542,27.4385,0.918796,0.6728350000000001,6.26422,25.6178,0.8387322209999999,0.0,0.0,0.668925405,0.476493104047244,10.75900262,-0.32664299999999996,9.69708,1.313345,0.321598,0.42,1.034605,-6.6438559999999995,-1.460321,-1.383824,0.690348,0.254384,0.272742,-0.281683,1.372258,0.9067780000000001,0.208875,0.7483770000000001,0.28018200000000004,0.956111,-0.362008,0.380619,-3.5856230000000004,0.25506999999999996,-0.665428,-0.597503,-0.236499,-2.177262,-0.458609,1
30,198.0,587.2068,-0.284,28.3251,5.54074,8.22461,1007.43,17.4583,10.9731,76.1076,138.197,22.3813,12.6952,28.7566,4.60661,1.16362,27.320999999999998,19.0343,1.21984,13.5974,0.398593,10.2313,25.1792,4.56268,5.61785,0.19056800000000002,4.10149,4.600619999999999,5.3543400000000005,14.0063,19.1442,60.8654,102.48899999999999,60.5178,3.43154,207.47799999999998,154.757,227.56099999999998,314.361,6.59162,187.17,111.51299999999999,125.948,104.723,177.537,4.61016,0.869152,0.15193800000000002,19.789,7.42255,0.905486233,0.0,0.957427108,0.172807097,1.5742948793642097e-09,4.7137448,0.657833,7.883738799999999,0.56415,0.9959600000000001,0.49,-1.328187,-0.635085,-0.712651,-0.689856,-0.670928,1.241344,2.6855740000000003,-0.759732,-2.811439,-0.907425,2.823387,-0.5147229999999999,-0.474817,1.6673310000000001,-0.18321800000000002,-0.634989,1.6434900000000001,1.579983,1.260023,1.07159,1.30247,-1.932665,-0.555809,1
44,26.0,1533.8745199999998,0.3577,8.65174,63.8193,271.189,3181.76,150.055,111.936,20.6785,91.3071,77.5643,13.8401,629.226,566.518,406.342,103.448,35.3488,30.0476,172.872,671.303,191.285,199.905,56.0734,131.929,2.7653,13.4142,34.6731,64.6581,262.70599999999996,3543.25,94.0809,207.321,24.0981,80.7918,1154.31,757.225,1593.45,629.4590000000001,115.86399999999999,604.172,954.067,1659.28,576.817,1673.38,321.464,37.2269,2.69857,283.032,430.409,0.578384088,0.0,0.0,0.460647643,0.0345335830833016,25.5898132,0.949548,8.56601,0.5407109999999999,-0.39119299999999996,0.4547000000000001,0.9846969999999999,0.26157800000000003,-1.2750629999999998,-0.132356,0.26410500000000003,0.608191,-0.384262,0.152302,0.29592399999999996,0.818733,-0.385999,-0.136219,0.868928,0.363099,0.23645100000000002,2.259792,0.770278,-0.374548,1.222383,0.371872,0.83435,-0.49006000000000005,0.5017659999999999,1
